Scheme Name	CURRENT STATUS	SCHEME TYPE	SCHEME TYPE Category	Packages ordered cost gross Rs in Crs	Packages ordered cost Net Rs in Crs	Sanctioned cost/ Aniticipated Cost	Stage-I - Acceptance of Assignment by Consultant Date	Stage-I - Stage 1 Sanction Date	Tender Details - NIT Number	Mode of Tender	Price Evaluation - L1 Name	Stage-II - Stage 2 Sanction Date	Order Details - Name of the Party	Order Details-Contract No./PO. No.	Completed - Date of Commissioning (Completion Date)	Reason for Delay
Procurement of Wheel and Axle for 350 Ton Torpedo Ladle Car	Ongoing	c. Ongoing	Plant	33.95922		33.95922
Modification for relocation of BC 245 Powerpck of BF 5	Ongoing	c. Ongoing	Plant	7.86		7.86
Renovation/Up-gradation of Secondary & ETP Cooling Towers in BF#5	Ongoing	c. Ongoing	Plant	2.4755928		2.4755928
Procurement of Mud Gun & Drill of BF#1-5	Ongoing	c. Ongoing	Plant	17.4		17.4
Up gradation of L1- Automation system- BF#5	Ongoing	c. Ongoing	Plant	7.74		7.74
Modification of Brick wall of Tarkera Pump house	Ongoing	c. Ongoing	Plant	2.66		2.66
Upgradation and Modification of Otis Make Lifts in Works Area	Ongoing	c. Ongoing	Plant	7.12		7.12
Procurement of 1 no. Hazmat Vehicle	Ongoing	c. Ongoing	Plant	6.0098524		6.0098524
Procurement of 1 No. Hydraulic Crane of Capacity 40T for FM(M)	Ongoing	c. Ongoing	Plant	2.354		2.354
Provision of FDA and Fire fighting system in IGH	Ongoing	c. Ongoing	Plant	6.48		6.48
Replacement of 33kV Double Bus AIS by 33kV Double Bus GIS at RM-2 Sub-Station of Rourkela Steel Plant on Turnkey Contract basis	Ongoing	c. Ongoing	Plant	18.80038741		18.80038741
Supply, Intallation and Commissioning of new Street Lighting System from Fertilizer Gate to Grill Gate area of RSP	Ongoing	c. Ongoing	Plant	2.24		2.24
Replacement of 6.6KV Switchboard and VCP at ELBDS - II	Ongoing	c. Ongoing	Plant	6.025		6.025
Reconditioning & Upgradation of SKODA Horizontal Boring Machine at Mechanical Shop of RSP	Ongoing	c. Ongoing	Plant	3.96598		3.96598
Upgradation of existing ESPs of SP-1	Ongoing	c. Ongoing	Plant	14.94		14.94
PROCUREMENT OF 22 NOS. OF PLATFORM CAR	Ongoing	c. Ongoing	Plant	20.04658426		20.04658426
Procurement of 02 nos. of Diesel Electric WDS6ADT Locomotive along with Mandatory Spares	Ongoing	c. Ongoing	Plant	22.26		22.26
Prcourement of 18 Nos. Maxis 4 Weighing Controller with Profibus and Analog Output Card for BF#5	Ongoing	c. Ongoing	Plant	0.629158757		0.629158757
Procurement of Additional Torpedo Ladle Cars without Refractory at RSP	Ongoing	c. Ongoing	Plant	24.485		24.485
Supply, Comm. & Erection of 15 m3 Slag Pot	Ongoing	c. Ongoing	Plant	2.0918851		2.0918851
Design, Supply, Installation & Commissioning of GPS based Vehicle Tracking System inside Rourkela Steel Plant on Turnkey Contract basis.	Ongoing	c. Ongoing	Plant	0.37369814		0.37369814
Modification of ROOF and Side sheeting in CHP (Old), CSP (Old), CDCP (COB #6)	Ongoing	c. Ongoing	Plant	9.624451094		9.624451094
BEAM,MS,IS:2062/1999,GR:A,150X75MM	Ongoing	c. Ongoing	Plant	2.1328125		2.1328125
Replacement of 6.6 kV Switch-board of CPP-I at Rourkela Steel Plant on Turnkey Contract basis	Ongoing	c. Ongoing	Plant	25.69005151		25.69005151
Modification/Up-gradation of Cooling Towers #15 to 19 in CPP-I, RSP on Turnkey Contract basis.	Ongoing	c. Ongoing	Plant	1.64112276		1.64112276
PROCUREMENT OF LIQUID RING VACUUM PUMPS FOR T.A # 2/3	Ongoing	c. Ongoing	Plant	0.5959		0.5959
Design, Supply, Installation and Commissioning of Online Drawing Management System against replacement for Design Dept	Ongoing	c. Ongoing	Plant	1.1309445		1.1309445
Supply, Installation, Testing and Commissioning of Virtual Reality based immersive, Interactive Visualization & Demonstration of Rourkela Steel Plant	Ongoing	c. Ongoing	Plant	1.436886		1.436886
Procurement of 02 no.16 cum Tipper for FM(M) Department	Ongoing	b. Completed	Plant	0.8358		0.8358
Procurement of 01 no.16 cum Tipper for SP-II (O) Department	Ongoing	b. Completed	Plant	0.4179		0.4179
Modification of Slab Transport Drive System for New Plate Mill of Rourkela Steel Plant	Ongoing	c. Ongoing	Plant	2.76795904		2.76795904
Installation of Islanding Panels and Interconnection through FO Cable for Grid Islanding Scheme for 250 MW Generator on Turnkey Contract basis	Ongoing	c. Ongoing	Plant	4.03501708		4.03501708
Supply, Installation and Commissioning of One Double-Girder 80T/10T EOT Crane in Transformer Shop of Power Distribution Department on Turnkey Contract basis.	Ongoing	c. Ongoing	Plant	2.528504		2.528504
Modification of LT Power Distribution System of Sinter Plant-I by Supply & Installation of 2000kVA Transformers and 415V LTPCC at OSP Sub-Station of Sinter Plant-I of RSP, Rourkela on Turnkey Contract basis.	Ongoing	c. Ongoing	Plant	2.093310324		2.093310324
Up-gradation of existing Centralized AC Unit of Main (CCR) Building of RMHP	Ongoing	c. Ongoing	Plant	0.991323672		0.991323672
Refurbishment of complete electrics in BR#2 & 3 of RMHP with design, supply, erection and commissioning.	Ongoing	c. Ongoing	Plant	4.2510444		4.2510444
Up-gradation of Automation system of LD Converters and IO Extension of GCP PLC system at SMS-I	Ongoing	c. Ongoing	Plant	1.416		1.416
Design, Engineering, Supply, Erection and Commisioning of Industrial Vacuum Cleaning System for BOF Complex in SMS-II of RSP	Ongoing	c. Ongoing	Plant	8.72149564		8.72149564
Modification of AMLC System by up-gradation of Servo Drives & DASCO Systems of AMLC for Caster-1&2 at SMS-II of RSP	Ongoing	c. Ongoing	Plant	3.960198		3.960198
Replacement of Electrics of CNC Milling Machine in MSRS of SMS-II at Rourkela Steel Plant	Ongoing	c. Ongoing	Plant	1.047420864		1.047420864
BOI WAGON,RDSO STANDARD(25 nos.)	Ongoing	c. Ongoing	Plant	15.36597911		15.36597911
Modification of Civic Centre, Sector-19 by providing additional facilities like accoustic hall & stage withy wooden floor and carpet, sound and light system, dressing room, toilet parking space etc at civic Centre, Sector-19	Ongoing	c. Ongoing	Plant	1.898206572		1.898206572
TML make Taphole drilling machine for SMS-II	Ongoing	c. Ongoing	Plant	7.7843935		7.7843935
Procurement of 1 No Wheel Dozer for FM(M)	Ongoing	b. Completed	Plant	3.4		3.4
Supply, Installation and Commissioning of One (1) No. 62.5 MVA, 132 kV/33 kV Power Transformer for MSDS-III Sub-Station on Turnkey Contract basis	Ongoing	c. Ongoing	Plant	8.8854		8.8854
Procurement of 45 nos Bolero For Transport department on STE-P Basis.	Ongoing	b. Completed	Plant	4.148982		4.148982
Supply, Installation & Commissioning of 3 nos. of Air compressors for Tarkera Pump House of WMD Department on Turnkey Contract basis	Ongoing	c. Ongoing	Plant	0.435255744		0.435255744
Installation of 1 No. Slag Disposal Conveyor SLC3 with Tripper Facility (PKG. TK-06)	c. Under Tendering	d. New Schemes	Plant	17.8652		17.8652
Upgradation of PLC module at CHP of COB#1 to 5	c. Under Tendering	d. New Schemes	Plant	4.3896		4.3896
Up-gradation of Level-2 system, HMI PC and Migration of system software at LHF-2B of SMS-II	c. Under Tendering	d. New Schemes	Plant	2.35823		2.35823
1525MM TRAVEL HEAD SERIES OVERLAP SEAM WELDER FOR DECARB LINE IN SSM	c. Under Tendering	d. New Schemes	Plant	14.16531		14.16531
Completed Including IDC	c. Ongoing	Plant	
TS#1	Projects Completed	b. Completed	Corporate	158.17		158.17
Others	Projects Completed	b. Completed	Corporate	
COB#2	Ongoing	c. Ongoing	Corporate	433.58		433.58
Caster-IV	Ongoing	c. Ongoing	Corporate	1105.23		1105.23
Power enabling package for oxygen	Ongoing	c. Ongoing	Corporate	69.62		69.62
STP for township	Ongoing	c. Ongoing	Corporate	96.62		96.62
Others	Ongoing	c. Ongoing	Corporate	
Treatment System#2	c. Under Tendering	d. New Schemes	Corporate	177.22		177.22
Coal Transportation	c. Under Tendering	d. New Schemes	Corporate	367.15		367.15
4th Stove BF#5	c. Under Tendering	d. New Schemes	Corporate	76.59		76.59
COB#7	d. Under Stage II Approval	d. New Schemes	Corporate	2882.53		2882.53
Pellet on COM Basis	d. Under Stage II Approval	d. New Schemes	Corporate	0		0
Micro-Pellet on COM Basis	d. Under Stage II Approval	d. New Schemes	Corporate	0		0
New Product Testing Laboratory	d. Under Stage II Approval	d. New Schemes	Corporate	186.6		186.6
Mixed Gas Booster	a. Under Formulation	d. New Schemes	Corporate	124.55		124.55
Others	a. Under Formulation	d. New Schemes	Corporate	
Oxygen Plant on COM Basis	Ongoing	c. Ongoing	Corporate	0		0
MEP	Projects Completed	a. MEP	Old	14240		14240
Capital Spares/Repairs	Capital Spares/Repairs	e. CR/S	Capital Spares/Repairs	
